Timestamp_Seconds	Memory_Usage_MB
932.34	3543.92
933.52	3543.92
934.70	3543.92
935.88	3543.92
937.06	3543.92
938.24	3543.92
939.42	3543.92
940.60	3543.92
941.78	3543.92
942.96	3543.92
944.14	3543.92
945.32	3543.92
946.50	3543.92
947.68	3543.92
948.86	3543.92
950.05	3543.92
951.22	3543.92
952.40	3543.92
953.59	3543.92
954.77	3543.92
955.96	3543.92
957.14	3543.92
958.33	3543.92
959.51	3543.92
960.70	3543.92
961.88	3543.92
963.07	3543.92
964.25	3543.92
965.44	3543.92
966.62	3543.92
967.81	3543.92
969.00	3543.92
970.18	3543.92
971.37	3543.92
972.55	3455.50
973.73	3366.54
974.92	3366.54
976.10	3372.21
977.28	3457.81
978.47	3418.25
979.65	3446.06
980.84	3446.06
982.02	3450.19
983.20	3446.09
984.39	3447.21
985.57	3448.23
986.76	3448.23
987.94	3450.07
989.13	3450.07
990.31	3454.39
991.49	3479.66
992.68	3504.47
993.87	3504.47
995.05	3511.22
996.24	3535.78
997.42	3536.75
998.61	3536.75
999.79	3536.75
1000.98	3541.03
1002.16	3541.03
1003.35	3541.07
1004.53	3541.07
1005.72	3541.07
1006.91	3541.33
1008.09	3541.33
1009.28	3541.33
1010.46	3541.33
1011.65	3541.33
1012.83	3541.33
1014.02	3541.33
1015.20	3541.33
1016.39	3541.43
1017.58	3541.43
1018.76	3541.43
1019.95	3541.43
1021.13	3541.43
1022.32	3541.43
1023.51	3541.43
1024.69	3541.43
1025.88	3542.23
1027.06	3542.23
1028.25	3542.23
1029.43	3542.23
1030.62	3543.30
1031.80	3543.30
1032.99	3543.30
1034.17	3543.30
1035.36	3543.30
1036.55	3543.30
1037.73	3543.30
1038.92	3543.30
1040.10	3543.30
1041.29	3544.10
1042.47	3544.10
1043.66	3544.10
1044.84	3544.10
1046.03	3544.10
1047.22	3544.10
1048.40	3544.10
1049.59	3544.10
1050.77	3544.10
1051.96	3544.10
1053.15	3544.10
1054.33	3544.10
1055.52	3544.10
1056.70	3544.10
1057.89	3544.10
1059.07	3544.10
1060.26	3544.10
1061.45	3544.10
1062.63	3544.10
1063.82	3544.10
1065.01	3544.10
1066.19	3544.10
1067.38	3544.10
1068.56	3544.10
1069.75	3544.10
1070.94	3544.10
1072.12	3544.10
1073.31	3510.99
1074.49	3393.82
1075.67	3393.82
1076.85	3393.82
1078.03	3442.38
1079.22	3423.71
1080.40	3423.80
1081.58	3423.80
1082.76	3423.80
1083.95	3492.65
1085.13	3425.28
1086.31	3425.28
1087.50	3475.21
1088.68	3462.45
1089.86	3482.85
1091.05	3482.85
1092.23	3484.75
1093.42	3484.75
1094.60	3486.64
1095.78	3486.64
1096.97	3486.64
1098.15	3504.39
1099.33	3486.64
1100.52	3486.64
1101.70	3486.64
1102.88	3486.64
1104.07	3486.64
1105.25	3486.64
1106.43	3486.64
1107.61	3486.64
1108.80	3486.64
1109.98	3486.64
1111.16	3486.64
1112.35	3491.76
1113.53	3487.44
1114.71	3487.44
1115.90	3487.44
1117.08	3487.44
1118.26	3487.44
1119.44	3487.44
1120.63	3487.44
1121.81	3487.44
1122.99	3500.57
1124.18	3487.44
1125.36	3487.44
1126.54	3487.44
1127.73	3487.52
1128.91	3549.54
1130.07	2638.92
1131.24	2638.92
1132.40	2639.06
1133.57	2644.54
1134.73	2645.38
1135.90	2645.38
1137.07	2645.38
1138.23	2647.12
1139.39	2647.12
1140.56	2647.12
1141.73	2647.12
1142.89	2647.12
1144.05	2647.12
1145.22	2647.12
1146.38	2647.12
1147.55	2647.12
1148.71	2647.14
1149.88	2648.07
1151.02	1803.29
1152.16	1415.52
1153.31	1467.14
1154.45	1542.16
1155.60	1616.29
1156.75	1690.16
1157.89	1706.16
1159.04	1739.88
1160.19	1781.66
1161.34	1824.94
1162.49	1860.82
1163.64	1862.19
1164.79	1864.75
1165.93	1866.56
1167.08	1868.81
1168.23	1871.18
1169.38	1871.90
1170.53	1875.81
1171.68	1877.16
1172.83	1877.16
1173.98	1877.89
1175.13	1878.80
1176.28	1879.22
1177.43	1879.31
1178.58	1879.31
1179.73	1879.31
1180.87	1879.31
1182.02	1880.15
1183.17	1880.15
1184.32	1880.15
1185.47	1880.15
1186.62	1880.15
1187.77	1880.15
1188.92	1880.15
1190.07	1880.15
1191.22	1880.15
1192.37	1880.15
1193.52	1880.15
1194.67	1880.15
1195.82	1880.15
1196.97	1880.15
1198.12	1880.15
1199.27	1880.15
1200.42	1880.15
1201.57	1880.15
1202.72	1880.15
1203.87	1880.15
1205.02	1880.15
1206.16	1880.15
1207.31	1880.15
1208.46	1880.15
1209.61	1880.15
1210.76	1880.15
1211.91	1880.15
1213.06	1880.15
1214.21	1880.15
1215.36	1880.15
